,Zone Name,Electrification Type,Reporting,ID,Name,Utility,Heat Rate,Capacity,Nameplate Capacity,Fuel,Area,Variable O&M,Fixed O&M,Var Cost Mod1,Var Cost Mod2,Fix Cost Mod1,Fix Cost Mod2,Forced Outage,Maintenance Rate,Non Cycling,Must Run,Start Up Costs,Minimum Capacity,Resource Begin Date,Resource End Date,Capacity Monthly Shape,Heat Rate at Minimum,Heat Rate Scalar,Ramp Rate,Min Up Time,Min Down Time,Shutdown Penalty,Maintenance Cycle,Maintenance Length,Maintenance Priority,Schedule Maintenance,Committed Heat Rate,Hourly Shaping Factor,Storage Control Type,Storage Inflow,Recharge Capacity,Maximum Storage,Initial Contents,Primary Fuel Limit,Start Fuel ID,Start Fuel Amount,Fuel Adder,Fuel Multiplier,Second Fuel,Second Fuel Limit,Second Fuel Adder,Second Fuel Heat Rate,Second Fuel Multiplier,Second Emission Rate ID,Constraint ID,Emission Rate ID,Emission Price ID,Hydro Number,Resource Group,Mean Repair Time,Risk Outage,Risk Resource Link,Cycle Only Capacity,Cycle Only Heat Rate,Cycle Only Startup Cost,UBB Heat Rate,UBB Bidding Factor,UBB Segment Size,UBB Bidding Shape,Bidding Factor,Bidding Shape,Bidding Adder,Shadow Bidding Adder,Shadow Bidding Resource,Max Operating Reserve,Reliability Area,Reliability Share,Dependency ID,Resource Fixed,Can Drop,Peak Credit,CONE,Heat Rate Units,Currency Units,Custom Memory,RPS,zREM Change Description,zREM Alternate ID,zREM Alternate Source,zREM Alternate Source ID,zREM EIA Plant Code,zREM EIA Gen Code,zREM EIA Utility Code,zREM Status,zREM Mothballed,zREM Commercial Date,zREM Unit Type = Prime Mover,zREM Technology Notation,zREM Cogen,zREM Total Capacity,zREM Primary Fuel,zREM Alternate Fuel,zREM ESD Plant Name,zREM NERC Region Plant Location,zREM ISO,zREM Country,zREM Plant State,zREM Plant County,zREM Plant City,zREM Plant Address,zREM Plant ZipCode,Latitude,Longitude,zREM Geo Source,zREM Resource Group USCensus,zREM Resource Group Generic Primary Fuel,zREM Resource Group Generic UnitType,zREM Service Territory,zREM River System,Primary Key,zREM NERC Assessment Area,Base Resource ID,Outage Scale Method,zREM EIA Nameplate Cap,zREM EIA Summer Cap,zREM EIA Winter Cap,zREM EIA Year,zREM Former Resource ID,Storage ID,Include Capability In Net Demand
0,WECC_AZPublicService,SH,FALSE,SH0,WECC_AZPublicService_SH,na,0,yr_WECC_AZPublicService_capacity_SH0,yr_WECC_AZPublicService_capacity_SH0,E3_NR,624.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|AZ_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
1,WECC_CA_BANC,SH,FALSE,SH1,WECC_CA_BANC_SH,na,0,yr_WECC_CA_BANC_capacity_SH1,yr_WECC_CA_BANC_capacity_SH1,E3_NR,83.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
2,WECC_CA_IID,SH,FALSE,SH2,WECC_CA_IID_SH,na,0,yr_WECC_CA_IID_capacity_SH2,yr_WECC_CA_IID_capacity_SH2,E3_NR,78.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
3,WECC_CA_LDWP,SH,FALSE,SH3,WECC_CA_LDWP_SH,na,0,yr_WECC_CA_LDWP_capacity_SH3,yr_WECC_CA_LDWP_capacity_SH3,E3_NR,79.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
4,WECC_CA_PGandE_BayArea,SH,FALSE,SH4,WECC_CA_PGandE_BayArea_SH,na,0,yr_WECC_CA_PGandE_BayArea_capacity_SH4,yr_WECC_CA_PGandE_BayArea_capacity_SH4,E3_NR,80.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
5,WECC_CA_PGandE_North,SH,FALSE,SH5,WECC_CA_PGandE_North_SH,na,0,yr_WECC_CA_PGandE_North_capacity_SH5,yr_WECC_CA_PGandE_North_capacity_SH5,E3_NR,45.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
6,WECC_CA_PGandE_ZP26,SH,FALSE,SH6,WECC_CA_PGandE_ZP26_SH,na,0,yr_WECC_CA_PGandE_ZP26_capacity_SH6,yr_WECC_CA_PGandE_ZP26_capacity_SH6,E3_NR,81.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
7,WECC_CA_SCE,SH,FALSE,SH7,WECC_CA_SCE_SH,na,0,yr_WECC_CA_SCE_capacity_SH7,yr_WECC_CA_SCE_capacity_SH7,E3_NR,46.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
8,WECC_CA_SDGE,SH,FALSE,SH8,WECC_CA_SDGE_SH,na,0,yr_WECC_CA_SDGE_capacity_SH8,yr_WECC_CA_SDGE_capacity_SH8,E3_NR,82.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
9,WECC_CA_TIDC,SH,FALSE,SH9,WECC_CA_TIDC_SH,na,0,yr_WECC_CA_TIDC_capacity_SH9,yr_WECC_CA_TIDC_capacity_SH9,E3_NR,600.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
10,WECC_ElPasoElectric,SH,FALSE,SH10,WECC_ElPasoElectric_SH,na,0,yr_WECC_ElPasoElectric_capacity_SH10,yr_WECC_ElPasoElectric_capacity_SH10,E3_NR,628.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|NM_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
11,WECC_NevadaNorth,SH,FALSE,SH11,WECC_NevadaNorth_SH,na,0,yr_WECC_NevadaNorth_capacity_SH11,yr_WECC_NevadaNorth_capacity_SH11,E3_NR,55.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|NV_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
12,WECC_NevadaSouth,SH,FALSE,SH12,WECC_NevadaSouth_SH,na,0,yr_WECC_NevadaSouth_capacity_SH12,yr_WECC_NevadaSouth_capacity_SH12,E3_NR,60.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|NV_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
13,WECC_NorthwesternMT,SH,FALSE,SH13,WECC_NorthwesternMT_SH,na,0,yr_WECC_NorthwesternMT_capacity_SH13,yr_WECC_NorthwesternMT_capacity_SH13,E3_NR,617.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|MT_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
14,WECC_PNW_Avista,SH,FALSE,SH14,WECC_PNW_Avista_SH,na,0,yr_WECC_PNW_Avista_capacity_SH14,yr_WECC_PNW_Avista_capacity_SH14,E3_NR,607.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|WA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
15,WECC_PNW_Bonneville_IDMT,SH,FALSE,SH15,WECC_PNW_Bonneville_IDMT_SH,na,0,yr_WECC_PNW_Bonneville_IDMT_capacity_SH15,yr_WECC_PNW_Bonneville_IDMT_capacity_SH15,E3_NR,611.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|MT_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
16,WECC_PNW_Bonneville_OR,SH,FALSE,SH16,WECC_PNW_Bonneville_OR_SH,na,0,yr_WECC_PNW_Bonneville_OR_capacity_SH16,yr_WECC_PNW_Bonneville_OR_capacity_SH16,E3_NR,609.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|OR_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
17,WECC_PNW_Bonneville_WA,SH,FALSE,SH17,WECC_PNW_Bonneville_WA_SH,na,0,yr_WECC_PNW_Bonneville_WA_capacity_SH17,yr_WECC_PNW_Bonneville_WA_capacity_SH17,E3_NR,610.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|WA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
18,WECC_PNW_ChelanCountyPUD,SH,FALSE,SH18,WECC_PNW_ChelanCountyPUD_SH,na,0,yr_WECC_PNW_ChelanCountyPUD_capacity_SH18,yr_WECC_PNW_ChelanCountyPUD_capacity_SH18,E3_NR,605.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|WA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
19,WECC_PNW_DouglasCountyPUD,SH,FALSE,SH19,WECC_PNW_DouglasCountyPUD_SH,na,0,yr_WECC_PNW_DouglasCountyPUD_capacity_SH19,yr_WECC_PNW_DouglasCountyPUD_capacity_SH19,E3_NR,606.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|CO_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
20,WECC_PNW_GrantCountyPUD,SH,FALSE,SH20,WECC_PNW_GrantCountyPUD_SH,na,0,yr_WECC_PNW_GrantCountyPUD_capacity_SH20,yr_WECC_PNW_GrantCountyPUD_capacity_SH20,E3_NR,604.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|WA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
21,WECC_PNW_IdahoPowerFE,SH,FALSE,SH21,WECC_PNW_IdahoPowerFE_SH,na,0,yr_WECC_PNW_IdahoPowerFE_capacity_SH21,yr_WECC_PNW_IdahoPowerFE_capacity_SH21,E3_NR,614.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|ID_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
22,WECC_PNW_IdahoPowerMV,SH,FALSE,SH22,WECC_PNW_IdahoPowerMV_SH,na,0,yr_WECC_PNW_IdahoPowerMV_capacity_SH22,yr_WECC_PNW_IdahoPowerMV_capacity_SH22,E3_NR,613.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|ID_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
23,WECC_PNW_IdahoPowerTV,SH,FALSE,SH23,WECC_PNW_IdahoPowerTV_SH,na,0,yr_WECC_PNW_IdahoPowerTV_capacity_SH23,yr_WECC_PNW_IdahoPowerTV_capacity_SH23,E3_NR,612.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|ID_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
24,WECC_PNW_Olympia,SH,FALSE,SH24,WECC_PNW_Olympia_SH,na,0,yr_WECC_PNW_Olympia_capacity_SH24,yr_WECC_PNW_Olympia_capacity_SH24,E3_NR,93.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|WA_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
25,WECC_PNW_PacificorpEastID,SH,FALSE,SH25,WECC_PNW_PacificorpEastID_SH,na,0,yr_WECC_PNW_PacificorpEastID_capacity_SH25,yr_WECC_PNW_PacificorpEastID_capacity_SH25,E3_NR,615.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|ID_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
26,WECC_PNW_PacificorpEastUT,SH,FALSE,SH26,WECC_PNW_PacificorpEastUT_SH,na,0,yr_WECC_PNW_PacificorpEastUT_capacity_SH26,yr_WECC_PNW_PacificorpEastUT_capacity_SH26,E3_NR,54.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|UT_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
27,WECC_PNW_PacificorpEastWY,SH,FALSE,SH27,WECC_PNW_PacificorpEastWY_SH,na,0,yr_WECC_PNW_PacificorpEastWY_capacity_SH27,yr_WECC_PNW_PacificorpEastWY_capacity_SH27,E3_NR,616.0,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,FUEL,0,FUEL,0,1/1/2017,12/31/2054,FUEL,,,FUEL,0,0,,FUEL,FUEL,,FUEL,,hr_ElecLoadShapes|WY_SH|2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FUEL,1,,,,,,,,,,,,,OP,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
